tradeDate,closeIndex,CHGPct
2013-01-04,2276.992,0.003466
2013-01-07,2285.364,0.003677
2013-01-08,2276.07,-0.004067
2013-01-09,2275.34,-0.000321
2013-01-10,2283.658,0.003656
2013-01-11,2242.997,-0.017805
2013-01-14,2311.74,0.030648
2013-01-15,2325.682,0.006031
2013-01-16,2309.499,-0.006958
2013-01-17,2284.909,-0.010647
2013-01-18,2317.07,0.014075
2013-01-21,2328.221,0.004813
2013-01-22,2315.139,-0.005619
2013-01-23,2320.911,0.002493
2013-01-24,2302.598,-0.00789
2013-01-25,2291.304,-0.004905
2013-01-28,2346.505,0.024092
2013-01-29,2358.977,0.005315
2013-01-30,2382.475,0.009961
2013-01-31,2385.422,0.001237
2013-02-01,2419.02,0.014085
2013-02-04,2428.154,0.003776
2013-02-05,2433.13,0.002049
2013-02-06,2434.477,0.000554
2013-02-07,2418.53,-0.00655
2013-02-08,2432.402,0.005736
2013-02-18,2421.558,-0.004458
2013-02-19,2382.914,-0.015958
2013-02-20,2397.178,0.005986
2013-02-21,2325.951,-0.029713
2013-02-22,2314.164,-0.005068
2013-02-25,2325.819,0.005036
2013-02-26,2293.341,-0.013964
2013-02-27,2313.22,0.008668
2013-02-28,2365.593,0.022641
2013-03-01,2359.506,-0.002573
2013-03-04,2273.404,-0.036492
2013-03-05,2326.306,0.02327
2013-03-06,2347.179,0.008973
2013-03-07,2324.293,-0.00975
2013-03-08,2318.611,-0.002445
2013-03-11,2310.593,-0.003458
2013-03-12,2286.605,-0.010382
2013-03-13,2263.968,-0.0099
2013-03-14,2270.277,0.002787
2013-03-15,2278.401,0.003578
2013-03-18,2240.016,-0.016847
2013-03-19,2257.434,0.007776
2013-03-20,2317.374,0.026552
2013-03-21,2324.242,0.002964
2013-03-22,2328.278,0.001736
2013-03-25,2326.715,-0.000671
2013-03-26,2297.669,-0.012484
2013-03-27,2301.259,0.001562
2013-03-28,2236.302,-0.028227
2013-03-29,2236.621,0.000143
2013-04-01,2234.395,-0.000995
2013-04-02,2227.74,-0.002978
2013-04-03,2225.295,-0.001098
2013-04-08,2211.592,-0.006158
2013-04-09,2225.775,0.006413
2013-04-10,2226.126,0.000158
2013-04-11,2219.553,-0.002953
2013-04-12,2206.78,-0.005755
2013-04-15,2181.942,-0.011255
2013-04-16,2194.846,0.005914
2013-04-17,2193.796,-0.000478
2013-04-18,2197.602,0.001735
2013-04-19,2244.643,0.021406
2013-04-22,2242.169,-0.001102
2013-04-23,2184.538,-0.025703
2013-04-24,2218.318,0.015463
2013-04-25,2199.307,-0.00857
2013-04-26,2177.912,-0.009728
2013-05-02,2174.123,-0.00174
2013-05-03,2205.497,0.014431
2013-05-06,2231.166,0.011639
2013-05-07,2235.575,0.001976
2013-05-08,2246.3,0.004797
2013-05-09,2232.971,-0.005934
2013-05-10,2246.831,0.006207
2013-05-13,2241.92,-0.002186
2013-05-14,2217.01,-0.011111
2013-05-15,2224.797,0.003512
2013-05-16,2251.806,0.01214
2013-05-17,2282.87,0.013795
2013-05-20,2299.986,0.007498
2013-05-21,2305.114,0.00223
2013-05-22,2302.403,-0.001176
2013-05-23,2275.667,-0.011612
2013-05-24,2288.533,0.005654
2013-05-27,2293.077,0.001986
2013-05-28,2321.318,0.012316
2013-05-29,2324.017,0.001163
2013-05-30,2317.749,-0.002697
2013-05-31,2300.595,-0.007401
2013-06-03,2299.252,-0.000584
2013-06-04,2272.416,-0.011672
2013-06-05,2270.931,-0.000653
2013-06-06,2242.11,-0.012691
2013-06-07,2210.898,-0.013921
2013-06-13,2148.355,-0.028289
2013-06-14,2162.041,0.00637
2013-06-17,2156.215,-0.002695
2013-06-18,2159.291,0.001427
2013-06-19,2143.454,-0.007334
2013-06-20,2084.021,-0.027728
2013-06-21,2073.095,-0.005243
2013-06-24,1963.235,-0.052993
2013-06-25,1959.508,-0.001898
2013-06-26,1951.495,-0.004089
2013-06-27,1950.013,-0.000759
2013-06-28,1979.206,0.014971
2013-07-01,1995.242,0.008102
2013-07-02,2006.56,0.005672
2013-07-03,1994.268,-0.006126
2013-07-04,2006.098,0.005932
2013-07-05,2007.199,0.000549
2013-07-08,1958.273,-0.024375
2013-07-09,1965.454,0.003667
2013-07-10,2008.126,0.021711
2013-07-11,2072.991,0.032301
2013-07-12,2039.486,-0.016163
2013-07-15,2059.39,0.009759
2013-07-16,2065.72,0.003074
2013-07-17,2044.922,-0.010068
2013-07-18,2023.396,-0.010527
2013-07-19,1992.648,-0.015196
2013-07-22,2004.762,0.006079
2013-07-23,2043.876,0.019511
2013-07-24,2033.329,-0.00516
2013-07-25,2021.174,-0.005978
2013-07-26,2010.85,-0.005108
2013-07-29,1976.306,-0.017179
2013-07-30,1990.064,0.006961
2013-07-31,1993.799,0.001877
2013-08-01,2029.067,0.017689
2013-08-02,2029.418,0.000173
2013-08-05,2050.481,0.010379
2013-08-06,2060.5,0.004886
2013-08-07,2046.778,-0.00666
2013-08-08,2044.895,-0.00092
2013-08-09,2052.235,0.003589
2013-08-12,2101.283,0.0239
2013-08-13,2106.156,0.002319
2013-08-14,2100.137,-0.002858
2013-08-15,2081.88,-0.008693
2013-08-16,2068.452,-0.00645
2013-08-19,2085.602,0.008291
2013-08-20,2072.595,-0.006237
2013-08-21,2072.961,0.000177
2013-08-22,2067.124,-0.002816
2013-08-23,2057.458,-0.004676
2013-08-26,2096.474,0.018963
2013-08-27,2103.567,0.003383
2013-08-28,2101.301,-0.001077
2013-08-29,2097.227,-0.001939
2013-08-30,2098.382,0.000551
2013-09-02,2098.448,3.1e-05
2013-09-03,2123.112,0.011753
2013-09-04,2127.618,0.002122
2013-09-05,2122.43,-0.002438
2013-09-06,2139.993,0.008275
2013-09-09,2212.516,0.033889
2013-09-10,2237.984,0.011511
2013-09-11,2241.268,0.001467
2013-09-12,2255.605,0.006397
2013-09-13,2236.217,-0.008595
2013-09-16,2231.401,-0.002154
2013-09-17,2185.56,-0.020544
2013-09-18,2191.851,0.002878
2013-09-23,2221.044,0.013319
2013-09-24,2207.531,-0.006084
2013-09-25,2198.515,-0.004084
2013-09-26,2155.809,-0.019425
2013-09-27,2160.027,0.001957
2013-09-30,2174.665,0.006777
2013-10-08,2198.199,0.010822
2013-10-09,2211.769,0.006173
2013-10-10,2190.929,-0.009422
2013-10-11,2228.146,0.016987
2013-10-14,2237.773,0.004321
2013-10-15,2233.412,-0.001949
2013-10-16,2193.074,-0.018061
2013-10-17,2188.542,-0.002067
2013-10-18,2193.78,0.002393
2013-10-21,2229.237,0.016163
2013-10-22,2210.652,-0.008337
2013-10-23,2183.107,-0.01246
2013-10-24,2164.322,-0.008605
2013-10-25,2132.955,-0.014493
2013-10-28,2133.869,0.000429
2013-10-29,2128.864,-0.002346
2013-10-30,2160.463,0.014843
2013-10-31,2141.614,-0.008725
2013-11-01,2149.562,0.003711
2013-11-04,2149.634,3.3e-05
2013-11-05,2157.24,0.003538
2013-11-06,2139.607,-0.008174
2013-11-07,2129.4,-0.004771
2013-11-08,2106.127,-0.010929
2013-11-11,2109.471,0.001588
2013-11-12,2126.772,0.008202
2013-11-13,2087.941,-0.018258
2013-11-14,2100.506,0.006018
2013-11-15,2135.827,0.016815
2013-11-18,2197.219,0.028744
2013-11-19,2193.125,-0.001863
2013-11-20,2206.613,0.00615
2013-11-21,2205.766,-0.000384
2013-11-22,2196.378,-0.004256
2013-11-25,2186.115,-0.004673
2013-11-26,2183.073,-0.001392
2013-11-27,2201.07,0.008244
2013-11-28,2219.372,0.008315
2013-11-29,2220.504,0.00051
2013-12-02,2207.371,-0.005914
2013-12-03,2222.67,0.006931
2013-12-04,2251.762,0.013089
2013-12-05,2247.063,-0.002087
2013-12-06,2237.108,-0.00443
2013-12-09,2238.2,0.000488
2013-12-10,2237.492,-0.000316
2013-12-11,2204.166,-0.014894
2013-12-12,2202.796,-0.000622
2013-12-13,2196.075,-0.003051
2013-12-16,2160.861,-0.016035
2013-12-17,2151.079,-0.004527
2013-12-18,2148.285,-0.001299
2013-12-19,2127.792,-0.009539
2013-12-20,2084.794,-0.020208
2013-12-23,2089.707,0.002357
2013-12-24,2092.905,0.00153
2013-12-25,2106.354,0.006426
2013-12-26,2073.099,-0.015788
2013-12-27,2101.251,0.01358
2013-12-30,2097.529,-0.001771
2013-12-31,2115.978,0.008796
2014-01-02,2109.387,-0.003115
2014-01-03,2083.136,-0.012445
2014-01-06,2045.709,-0.017967
2014-01-07,2047.317,0.000786
2014-01-08,2044.34,-0.001454
2014-01-09,2027.622,-0.008178
2014-01-10,2013.298,-0.007064
2014-01-13,2009.564,-0.001855
2014-01-14,2026.842,0.008598
2014-01-15,2023.348,-0.001724
2014-01-16,2023.701,0.000174
2014-01-17,2004.949,-0.009266
2014-01-20,1991.253,-0.006831
2014-01-21,2008.313,0.008567
2014-01-22,2051.749,0.021628
2014-01-23,2042.18,-0.004664
2014-01-24,2054.392,0.00598
2014-01-27,2033.3,-0.010267
2014-01-28,2038.513,0.002564
2014-01-29,2049.914,0.005593
2014-01-30,2033.083,-0.008211
2014-02-07,2044.497,0.005614
2014-02-10,2086.067,0.020333
2014-02-11,2103.671,0.008439
2014-02-12,2109.955,0.002987
2014-02-13,2098.401,-0.005476
2014-02-14,2115.848,0.008314
2014-02-17,2135.415,0.009248
2014-02-18,2119.066,-0.007656
2014-02-19,2142.554,0.011084
2014-02-20,2138.782,-0.001761
2014-02-21,2113.693,-0.011731
2014-02-24,2076.686,-0.017508
2014-02-25,2034.219,-0.020449
2014-02-26,2041.254,0.003458
2014-02-27,2047.354,0.002988
2014-02-28,2056.302,0.004371
2014-03-03,2075.235,0.009207
2014-03-04,2071.473,-0.001813
2014-03-05,2053.084,-0.008877
2014-03-06,2059.578,0.003163
2014-03-07,2057.908,-0.000811
2014-03-10,1999.065,-0.028594
2014-03-11,2001.157,0.001046
2014-03-12,1997.692,-0.001731
2014-03-13,2019.111,0.010722
2014-03-14,2004.339,-0.007316
2014-03-17,2023.673,0.009646
2014-03-18,2025.196,0.000753
2014-03-19,2021.734,-0.001709
2014-03-20,1993.479,-0.013976
2014-03-21,2047.619,0.027159
2014-03-24,2066.279,0.009113
2014-03-25,2067.311,0.000499
2014-03-26,2063.67,-0.001761
2014-03-27,2046.588,-0.008277
2014-03-28,2041.712,-0.002383
2014-03-31,2033.306,-0.004117
2014-04-01,2047.46,0.006961
2014-04-02,2058.988,0.00563
2014-04-03,2043.702,-0.007424
2014-04-04,2058.831,0.007403
2014-04-08,2098.284,0.019163
2014-04-09,2105.237,0.003314
2014-04-10,2134.3,0.013805
2014-04-11,2130.542,-0.001761
2014-04-14,2131.539,0.000468
2014-04-15,2101.601,-0.014045
2014-04-16,2105.122,0.001675
2014-04-17,2098.885,-0.002963
2014-04-18,2097.748,-0.000542
2014-04-21,2065.826,-0.015217
2014-04-22,2072.831,0.003391
2014-04-23,2067.382,-0.002629
2014-04-24,2057.033,-0.005006
2014-04-25,2036.519,-0.009973
2014-04-28,2003.487,-0.01622
2014-04-29,2020.341,0.008412
2014-04-30,2026.358,0.002978
2014-05-05,2027.353,0.000491
2014-05-06,2028.038,0.000338
2014-05-07,2010.083,-0.008853
2014-05-08,2015.274,0.002582
2014-05-09,2011.135,-0.002054
2014-05-12,2052.871,0.020752
2014-05-13,2050.728,-0.001044
2014-05-14,2047.91,-0.001374
2014-05-15,2024.974,-0.0112
2014-05-16,2026.504,0.000756
2014-05-19,2005.183,-0.010521
2014-05-20,2008.119,0.001464
2014-05-21,2024.951,0.008382
2014-05-22,2021.285,-0.00181
2014-05-23,2034.569,0.006572
2014-05-26,2041.476,0.003395
2014-05-27,2034.565,-0.003385
2014-05-28,2050.228,0.007698
2014-05-29,2040.595,-0.004699
2014-05-30,2039.212,-0.000678
2014-06-03,2038.305,-0.000445
2014-06-04,2024.834,-0.006609
2014-06-05,2040.878,0.007924
2014-06-06,2029.956,-0.005352
2014-06-09,2030.502,0.000269
2014-06-10,2052.532,0.01085
2014-06-11,2054.948,0.001177
2014-06-12,2051.713,-0.001574
2014-06-13,2070.715,0.009262
2014-06-16,2085.983,0.007373
2014-06-17,2066.698,-0.009245
2014-06-18,2055.519,-0.005409
2014-06-19,2023.735,-0.015463
2014-06-20,2026.674,0.001452
2014-06-23,2024.365,-0.001139
2014-06-24,2033.931,0.004725
2014-06-25,2025.502,-0.004144
