reportDate,ticker,holdingTicker,marketValue,industryName1
2017-09-30,000001,002236,237401519.41,电子
2017-09-30,000001,000568,216279076.2,食品饮料
2017-09-30,000001,300156,160320000.0,公用事业
2017-09-30,000001,603799,153879981.0,有色金属
2017-09-30,000001,600056,151963791.62,医药生物
2017-09-30,000001,601988,138394013.6,银行
2017-09-30,000001,000858,131744515.52,食品饮料
2017-09-30,000001,300477,119755628.76,电气设备
2017-09-30,000001,601166,105048853.0,银行
2017-09-30,000001,600779,102455696.22,食品饮料
2017-09-30,000003,600622,1978000.0,房地产
2017-09-30,000003,600884,1930106.52,电子
2017-09-30,000003,600036,1277500.0,银行
2017-09-30,000003,600060,157100.0,家用电器
2017-09-30,000004,600622,1978000.0,房地产
2017-09-30,000004,600884,1930106.52,电子
2017-09-30,000004,600036,1277500.0,银行
2017-09-30,000004,600060,157100.0,家用电器
2017-09-30,000005,002241,1277144.0,电子
2017-09-30,000007,600000,1287000.0,银行
2017-09-30,000007,600036,1277500.0,银行
2017-09-30,000007,601601,1034040.0,非银金融
2017-09-30,000007,000001,888800.0,银行
2017-09-30,000007,601009,791000.0,银行
2017-09-30,000007,601336,680040.0,非银金融
2017-09-30,000007,601328,632000.0,银行
2017-09-30,000007,000776,569400.0,非银金融
2017-09-30,000007,601688,565500.0,非银金融
2017-09-30,000007,601318,541600.0,非银金融
2017-09-30,000008,002460,453960.0,有色金属
2017-09-30,000008,601012,351282.4,电气设备
2017-09-30,000008,300136,327600.0,电子
2017-09-30,000008,600487,326800.0,通信
2017-09-30,000008,600516,314665.0,有色金属
2017-09-30,000008,603799,265263.0,有色金属
2017-09-30,000008,600525,262680.0,电气设备
2017-09-30,000008,002340,231741.6,有色金属
2017-09-30,000008,002405,230580.0,计算机
2017-09-30,000008,600219,221844.0,有色金属
2017-09-30,000011,600690,178062000.0,家用电器
2017-09-30,000011,600019,126368142.76,钢铁
2017-09-30,000011,000333,124335237.69,家用电器
2017-09-30,000011,000568,117802650.9,食品饮料
2017-09-30,000011,000963,112857172.54,医药生物
2017-09-30,000011,600009,111648400.74,交通运输
2017-09-30,000011,600004,108839121.93,交通运输
2017-09-30,000011,000858,108832000.0,食品饮料
2017-09-30,000011,600036,102197521.65,银行
2017-09-30,000011,600309,96102000.0,化工
2017-09-30,000014,601336,5166887.25,非银金融
2017-09-30,000017,601988,10092352.0,银行
2017-09-30,000017,000858,9969240.32,食品饮料
2017-09-30,000017,600036,9754990.0,银行
2017-09-30,000017,600519,8648729.12,食品饮料
2017-09-30,000017,600197,8044917.0,食品饮料
2017-09-30,000017,002024,6882740.0,商业贸易
2017-09-30,000017,300197,6395388.82,建筑装饰
2017-09-30,000017,002456,6267641.77,电子
2017-09-30,000017,603355,6059986.56,家用电器
2017-09-30,000017,600702,6039405.0,食品饮料
2017-09-30,000020,300323,21372773.39,电子
2017-09-30,000020,000568,20713578.6,食品饮料
2017-09-30,000020,000858,20139648.0,食品饮料
2017-09-30,000020,601689,16431745.92,汽车
2017-09-30,000020,300015,16192405.14,医药生物
2017-09-30,000020,002635,15231236.0,电子
2017-09-30,000020,603626,14795985.66,机械设备
2017-09-30,000020,000998,14294800.0,农林牧渔
2017-09-30,000020,600703,13387762.7,电子
2017-09-30,000020,300408,13202371.0,电子
